latitude,longitude
51.3228,-.4233
51.3228,-.4088
51.3228,-.3943
51.3228,-.3798
51.3228,-.3653
51.3228,-.3508
51.3228,-.3363
51.3228,-.3218
51.3228,-.3073
51.3228,-.2928
51.3228,-.2783
51.3228,-.2638
51.3228,-.2493
51.3228,-.2348
51.3228,-.2203
51.3228,-.2058
51.3228,-.1913
51.3228,-.1768
51.3228,-.1623
51.3228,-.1478
51.3228,-.1333
51.3228,-.1188
51.3228,-.1043
51.3228,-.0898
51.3228,-.0753
51.3228,-.0608
51.3228,-.0463
51.3228,-.0318
51.3228,-.0173
51.3228,-.0028
51.3228,.0117
51.3228,.0262
51.3228,.0407
51.3228,.0552
51.3228,.0697
51.3228,.0842
51.3228,.0987
51.3228,.1132
51.3228,.1277
51.3228,.1422
51.3228,.1567
51.3228,.1712
51.3228,.1857
51.3228,.2002
51.3228,.2147
51.3228,.2292
51.3228,.2437
51.3228,.2582
51.3228,.2727
51.3228,.2872
51.3228,.3017
51.3228,.3162
51.3228,.3307
51.3318,-0.5103
51.3318,-.4958
51.3318,-.4813
51.3318,-.4668
51.3318,-.4523
51.3318,-.4378
51.3318,-.4233
51.3318,-.4088
51.3318,-.3943
51.3318,-.3798
51.3318,-.3653
51.3318,-.3508
51.3318,-.3363
51.3318,-.3218
51.3318,-.3073
51.3318,-.2928
51.3318,-.2783
51.3318,-.2638
51.3318,-.2493
51.3318,-.2348
51.3318,-.2203
51.3318,-.2058
51.3318,-.1913
51.3318,-.1768
51.3318,-.1623
51.3318,-.1478
51.3318,-.1333
51.3318,-.1188
51.3318,-.1043
51.3318,-.0898
51.3318,-.0753
51.3318,-.0608
51.3318,-.0463
51.3318,-.0318
51.3318,-.0173
51.3318,-.0028
51.3318,.0117
51.3318,.0262
51.3318,.0407
51.3318,.0552
51.3318,.0697
51.3318,.0842
51.3318,.0987
51.3318,.1132
51.3318,.1277
51.3318,.1422
51.3318,.1567
51.3318,.1712
51.3318,.1857
51.3318,.2002
51.3318,.2147
51.3318,.2292
51.3318,.2437
51.3318,.2582
51.3318,.2727
51.3318,.2872
51.3318,.3017
51.3318,.3162
51.3318,.3307
51.3408,-0.5103
51.3408,-.4958
51.3408,-.4813
51.3408,-.4668
51.3408,-.4523
51.3408,-.4378
51.3408,-.4233
51.3408,-.4088
51.3408,-.3943
51.3408,-.3798
51.3408,-.3653
51.3408,-.3508
51.3408,-.3363
51.3408,-.3218
51.3408,-.3073
51.3408,-.2928
51.3408,-.2783
51.3408,-.2638
51.3408,-.2493
51.3408,-.2348
51.3408,-.2203
51.3408,-.2058
51.3408,-.1913
51.3408,-.1768
51.3408,-.1623
51.3408,-.1478
51.3408,-.1333
51.3408,-.1188
51.3408,-.1043
51.3408,-.0898
51.3408,-.0753
51.3408,-.0608
51.3408,-.0463
51.3408,-.0318
51.3408,-.0173
51.3408,-.0028
51.3408,.0117
51.3408,.0262
51.3408,.0407
51.3408,.0552
51.3408,.0697
